query_game,hybrid_rank,appid,recommended_game,hybrid_rrf_score,min_os,min_cpu,min_ram_gb,min_gpu,min_vram_gb,min_storage_gb,rec_os,rec_cpu,rec_ram_gb,rec_gpu,rec_vram_gb,rec_storage_gb
The Witcher 3: Wild Hunt,1,973760,Thronebreaker: The Witcher Tales,0.0146278948737965,7 / 8 / 8.1 /10 (64bit),Intel Celeron G1820 | AMD A4-7300,4.0,NVIDIA GeForce GT 730 | Radeon R7 240,Not Available,8.0,7 / 8 / 8.1 /10 (64bit),Intel Core i3 6100 | AMD FX-6300,4.0,NVIDIA GeForce GTX 660 | AMD Radeon R7 265,Not Available,8.0
The Witcher 3: Wild Hunt,2,288470,Fable Anniversary,0.0129065833983866,Not Available,Intel 2GHz Core2 Duo / AMD Athlon 64 x2 2.4GHz,3.0,Radeon X1800/ Nvidia GeForce 7600GT,Not Available,10.0,Not Available,Intel Core2 Quad 2.33GHz,4.0,Nvidia GeForce GTX 260,Not Available,10.0
The Witcher 3: Wild Hunt,3,208730,Game of Thrones,0.0126054590570719,Not Available,AMD/INTEL DUAL-CORE 2.2 GHZ,2.0,256 MB 100% DIRECTX 9 AND SHADERS 3.0 COMPATIBLE. ATI RADEON HD 2600 XT/NVIDIA GEFORCE 7900 GTX OR HIGHER DirectX®: 9 Hard Drive: 7 GB Sound: DIRECTX 9 COMPATIBLE Internet: INTERNET CONNECTION REQUIRED THE GAME ACTIVATION,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
The Witcher 3: Wild Hunt,4,40300,Risen,0.0125275263029116,Not Available,Intel Pentium 4 or AMD CPU 2 GHz or equivalent,4.0,256 MB DirectX™ 9.0c compatible graphics card (nVidia® GeForce® 7900/ATI Radeon™ X1800 or better),Not Available,5.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
The Witcher 3: Wild Hunt,5,606880,GreedFall,0.0123339658444022,Not Available,Intel Core i5-3450 (3.1 GHz) / AMD FX-6300 X6 (3.5 GHz),8.0,"2 GB, GeForce GTX 660/Radeon HD 7870",Not Available,25.0,Not Available,Intel Core i5-4690 (3.5 GHz)/AMD FX-8300 (3.3 GHz),16.0,"4 GB, GeForce GTX 980 / Radeon RX 590",Not Available,25.0
The Witcher 3: Wild Hunt,6,253980,Enclave,0.0122201492537313,Not Available,Intel or AMD Single Core CPU,1.0,with TnL support and 128 MB RAM,Not Available,5.0,Not Available,Intel or AMD Multi-Core CPU with 2.0 GHz,2.0,with Shader 2.0 support and 256 MB RAM,Not Available,5.0
The Witcher 3: Wild Hunt,7,39500,Gothic® 3,0.0119509476031215,Not Available,Intel Pentium 4 or AMD CPU 2 GHz or equivalent,2.0,3D graphics card with 128 MB Ram and Shader 1.4,Not Available,5.0,Not Available,Intel Pentium 3.0 GHz or AMD Athlon 64 4000+,4.0,3D graphics cardwith 256 MB (NVIDIA GeForce 6800 equivalent or better,Not Available,5.0
The Witcher 3: Wild Hunt,8,39690,ArcaniA,0.0118838028169014,Not Available,Intel Core 2 Duo - 2.8 GHz / AMD Athlon II x2 - 2.8 GHz,2.0,"GeForce 8800 GTX, GeForce 8800 GT, GeForce 9600 DirectX®: DirectX 9.0c or higher Hard Drive: 10 GB + 600 MB virtual memory Sound: DirectX 8.1 compatible sound card",Not Available,Not Available,Not Available,Intel Quad Core / AMD Phenom X4,4.0,"GeForce GTX 250, GeForce GTX 260, GeForce GTX 280 DirectX®: DirectX 9.0c or higher Hard Drive: 10 GB + 600 MB virtual memory Sound: DirectX 8.1 compatible sound card",Not Available,Not Available
The Witcher 3: Wild Hunt,9,204030,Fable - The Lost Chapters,0.0116944088775074,Not Available,1.4 GHz equivalent or greater,0.25,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
The Witcher 3: Wild Hunt,10,65540,Gothic 1,0.0113526570048309,Not Available,Intel Pentium III 700 MHz,0.5,3D graphics card with 32 MB Ram,Not Available,5.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
