model,query_appid,query_game,runtime_seconds
Hybrid,730,Counter-Strike 2,0.030716050000023642
Hybrid,271590,Grand Theft Auto V Legacy,0.02098716500000819
Hybrid,289070,Sid Meier’s Civilization® VI,0.018860098000004655
Hybrid,292030,The Witcher 3: Wild Hunt,0.022168361000012737
Hybrid,367520,Hollow Knight,0.021132455999975264
Hybrid,413150,Stardew Valley,0.01923893999997972
Hybrid,427520,Factorio,0.01932379499999115
Hybrid,548430,Deep Rock Galactic,0.024109124000005977
Hybrid,739630,Phasmophobia,0.02350197499998785
Hybrid,1145360,Hades,0.019028665999996974
