hybrid_rank,appid,recommended_game,hybrid_rrf_score,model_agreement,hardware_status,hardware_reason,min_os,min_cpu,rec_cpu,min_gpu,rec_gpu,min_ram_gb,rec_ram_gb,min_vram_gb,rec_vram_gb,min_storage_gb,rec_storage_gb
1,1501750,Lords of the Fallen,0.013,3,Recommended Numeric Requirements Met,"All available recommended RAM, VRAM and storage requirements are satisfied.",Windows 10 64bit,intel i5 8400 | AMD Ryzen 5 2600,intel i7 8700 | AMD Ryzen 5 3600,6GBs VRAM | NVIDIA GTX-1060 | AMD Radeon RX 590,8GBs VRAM | NVIDIA RTX-2080 | AMD Radeon RX 6700,12.0,16.0,,,45.0,45.0
2,678960,CODE VEIN,0.013,2,Recommended Numeric Requirements Met,"All available recommended RAM, VRAM and storage requirements are satisfied.",Windows 7 SP1 or Windows 10 (64-bit),Intel Core i5-2300,Intel Core i5-7400 or AMD Ryzen 3 2200G,GeForce GTX 760 or Radeon HD 7850,GeForce GTX 960 or Radeon R9 380X,6.0,8.0,,,35.0,35.0
3,335300,DARK SOULS™ II: Scholar of the First Sin,0.013,2,Recommended Numeric Requirements Met,"All available recommended RAM, VRAM and storage requirements are satisfied.","Windows 7 SP1 64bit, Windows 8.1 64bit","AMD® A8 3870 3,6 Ghz or Intel® Core ™ i3 2100 3.1Ghz",AMD® FX 8150 3.6 GHz or Intel® Core™ i7 2600 3.4 GHz,NVIDIA® GeForce  GTX 465 / ATI Radeon TM HD 6870,"NVIDIA® GeForce® GTX 750, ATI Radeon™ HD 7850",4.0,8.0,,,23.0,23.0
4,374320,DARK SOULS™ III,0.012,2,Recommended Numeric Requirements Met,"All available recommended RAM, VRAM and storage requirements are satisfied.","Windows 7 SP1 64bit, Windows 8.1 64bit Windows 10 64bit",Intel Core i3-2100 / AMD® FX-6300,Intel Core i7-3770 / AMD® FX-8350,NVIDIA® GeForce GTX 750 Ti / ATI Radeon HD 7950,NVIDIA® GeForce GTX 970 / ATI Radeon R9 series,4.0,8.0,,,25.0,25.0
5,1358700,STRANGER OF PARADISE FINAL FANTASY ORIGIN,0.012,2,Recommended Numeric Requirements Met,"All available recommended RAM, VRAM and storage requirements are satisfied.",Windows® 10 64-bit,AMD Ryzen™ 5 1400 / Intel® Core™ i7-6700,AMD Ryzen™ 5 1600 / Intel® Core™ i7-8700,AMD Radeon™ RX 470 / NVIDIA® GeForce® GTX 1060 6GB VRAM,AMD Radeon™ RX 5700 XT / NVIDIA® GeForce® GTX 1660 SUPER,8.0,16.0,6.0,,90.0,90.0
6,637650,FINAL FANTASY XV WINDOWS EDITION,0.012,2,Recommended Numeric Requirements Met,"All available recommended RAM, VRAM and storage requirements are satisfied.",Windows® 7 SP1/ Windows® 8.1 / Windows® 10 64-bit,Intel® Core™ i5-2500（3.3GHz and above）/ AMD FX™-6100 （3.3GHz and above）,Intel® Core™ i7-3770（3.4GHz and above）/ AMD FX™-8350（4.0 GHz and above）,NVIDIA® GeForce® GTX 760 / NVIDIA® GeForce® GTX 1050 / AMD Radeon™ R9 280,NVIDIA® GeForce® GTX 1060 6 GB VRAM / Radeon™ RX 480,8.0,16.0,,6.0,100.0,100.0
7,2130510,Divinus Vanitas,0.012,2,Recommended Numeric Requirements Met,"All available recommended RAM, VRAM and storage requirements are satisfied.",Windows 10,Intel Core i5-9600 or equivalent,Intel Core i5-12600 or equivalent,NVIDIA GTX 970,NVIDIA RTX 3060,8.0,16.0,,,16.0,20.0
8,485510,Nioh: Complete Edition,0.012,2,Recommended Numeric Requirements Met,"All available recommended RAM, VRAM and storage requirements are satisfied.",Windows® 10 64bit,Intel® Core™ i5 3550 or over,Intel® Core™ i7 4770K or over,NVIDIA® GeForce® GTX 780 VRAM 3GB or over　AMD Radeon™ R9 280 VRAM 3GB or over,NVIDIA® GeForce® GTX 1060 VRAM 6GB or over　AMD Radeon™ R9 380X VRAM 4GB or over,6.0,8.0,3.0,6.0,80.0,80.0
9,1448440,Wo Long: Fallen Dynasty,0.012,2,Recommended Numeric Requirements Met,"All available recommended RAM, VRAM and storage requirements are satisfied.","Windows® 10, Windows® 11, 64bit",Intel® Core™ i5-8400、AMD Ryzen™ 5 3400G,Intel® Core™ i7-8700、AMD Ryzen™ 5 3600XT,GeForce GTX 1650 4GB、Radeon RX 570 4GB,GeForce RTX 2060 6GB、Radeon RX 5700XT 8GB,8.0,16.0,4.0,6.0,60.0,60.0
10,236430,DARK SOULS™ II,0.011,2,Recommended Numeric Requirements Met,"All available recommended RAM, VRAM and storage requirements are satisfied.","Windows Vista SP2, Windows 7 SP1, Windows 8",AMD® Phenom II™ X2 555 3.2Ghz or Intel® Pentium Core ™ 2 Duo E8500 3.17Ghz,Intel® CoreTM i3 2100 3.10GHz or AMD® A8 3870K 3.0GHz,"NVIDIA® GeForce® 9600GT, ATI Radeon™ HD 5870",NVIDIA® GeForce® GTX 750 or ATI Radeon™ HD 6870 or higher,2.0,4.0,,,12.0,15.0
