query_appid,query_game,metadata_rank,appid,recommended_game,metadata_score,genre_similarity,tag_similarity,play_mode_similarity,shared_genres,shared_tags,shared_play_modes,release_date,pct_pos_total,num_reviews_total,recommendations
1245620,ELDEN RING,1,678960,CODE VEIN,0.7459,1.0,0.6319,0.7782,"['action', 'rpg']","['action', 'action rpg', 'character customization', 'co op', 'dark fantasy', 'difficult', 'multiplayer', 'online co op', 'rpg', 'singleplayer', 'souls like', 'third person', 'violent']","['co op', 'multi player', 'online co op', 'single player']",2019-09-26,84.0,42021.0,42013
1245620,ELDEN RING,2,485510,Nioh: Complete Edition,0.7434,1.0,0.5723,1.0,"['action', 'rpg']","['action', 'action rpg', 'atmospheric', 'co op', 'dark fantasy', 'difficult', 'fantasy', 'great soundtrack', 'multiplayer', 'rpg', 'singleplayer', 'souls like', 'third person']","['co op', 'multi player', 'online co op', 'online pvp', 'pvp', 'single player']",2017-11-07,78.0,26100.0,26058
1245620,ELDEN RING,3,335300,DARK SOULS™ II: Scholar of the First Sin,0.7291,1.0,0.6517,0.5868,"['action', 'rpg']","['action', 'action rpg', 'atmospheric', 'character customization', 'co op', 'dark fantasy', 'difficult', 'fantasy', 'multiplayer', 'pvp', 'rpg', 'singleplayer', 'souls like', 'third person']","['co op', 'multi player', 'single player']",2015-04-01,84.0,72245.0,72139
1245620,ELDEN RING,4,1448440,Wo Long: Fallen Dynasty,0.7284,0.8633,0.6043,1.0,"['action', 'rpg']","['action', 'action rpg', 'atmospheric', 'character customization', 'co op', 'dark fantasy', 'difficult', 'fantasy', 'rpg', 'singleplayer', 'souls like', 'third person', 'violent']","['co op', 'multi player', 'online co op', 'online pvp', 'pvp', 'single player']",2023-03-03,47.0,19736.0,19733
1245620,ELDEN RING,5,1358700,STRANGER OF PARADISE FINAL FANTASY ORIGIN,0.7246,0.8633,0.6535,0.7782,"['action', 'rpg']","['3d', 'action', 'action rpg', 'atmospheric', 'dark fantasy', 'fantasy', 'multiplayer', 'online co op', 'pvp', 'rpg', 'singleplayer', 'souls like', 'third person', 'violent']","['co op', 'multi player', 'online co op', 'single player']",2023-04-06,83.0,2779.0,2776
1245620,ELDEN RING,6,637650,FINAL FANTASY XV WINDOWS EDITION,0.7133,0.8196,0.5973,1.0,['rpg'],"['action', 'action rpg', 'atmospheric', 'co op', 'fantasy', 'great soundtrack', 'multiplayer', 'online co op', 'open world', 'rpg', 'singleplayer', 'third person', 'violent']","['co op', 'multi player', 'online co op', 'online pvp', 'pvp', 'single player']",2018-03-06,83.0,40759.0,40750
1245620,ELDEN RING,7,2130510,Divinus Vanitas,0.6983,0.8633,0.6334,0.6832,"['action', 'rpg']","['3d', 'action', 'action rpg', 'character customization', 'fantasy', 'multiplayer', 'online co op', 'open world', 'pvp', 'rpg', 'singleplayer', 'souls like', 'third person']","['co op', 'multi player', 'online co op', 'online pvp', 'pvp', 'single player']",2022-09-14,74.0,27.0,0
1245620,ELDEN RING,8,649950,Ashen,0.6977,0.8633,0.6086,0.7782,"['action', 'rpg']","['action', 'action rpg', 'atmospheric', 'dark fantasy', 'fantasy', 'multiplayer', 'online co op', 'open world', 'rpg', 'singleplayer', 'souls like', 'third person']","['co op', 'multi player', 'online co op', 'single player']",2019-12-09,68.0,3005.0,3006
1245620,ELDEN RING,9,1325200,Nioh 2 – The Complete Edition,0.6918,1.0,0.5418,0.7782,"['action', 'rpg']","['action', 'atmospheric', 'character customization', 'co op', 'dark fantasy', 'difficult', 'fantasy', 'multiplayer', 'rpg', 'singleplayer', 'souls like', 'violent']","['co op', 'multi player', 'online co op', 'single player']",2021-02-05,88.0,30120.0,30099
1245620,ELDEN RING,10,374320,DARK SOULS™ III,0.6828,0.573,0.7526,0.5868,['action'],"['action', 'action rpg', 'atmospheric', 'character customization', 'co op', 'dark fantasy', 'difficult', 'great soundtrack', 'multiplayer', 'open world', 'pvp', 'rpg', 'singleplayer', 'souls like', 'third person']","['co op', 'multi player', 'single player']",2016-04-11,94.0,258335.0,258226
1245620,ELDEN RING,11,236430,DARK SOULS™ II,0.6738,1.0,0.5596,0.5868,"['action', 'rpg']","['action', 'action rpg', 'atmospheric', 'co op', 'dark fantasy', 'difficult', 'fantasy', 'multiplayer', 'open world', 'pvp', 'rpg', 'souls like', 'third person']","['co op', 'multi player', 'single player']",2014-04-25,87.0,30620.0,30603
1245620,ELDEN RING,12,574050,DRAGON QUEST HEROES™ II,0.6728,1.0,0.5205,0.7371,"['action', 'rpg']","['action', 'action rpg', 'character customization', 'co op', 'fantasy', 'great soundtrack', 'multiplayer', 'online co op', 'open world', 'rpg', 'third person']","['multi player', 'online pvp', 'pvp', 'single player']",2017-04-25,69.0,661.0,661
1245620,ELDEN RING,13,750800,Egress,0.6727,0.9255,0.488,0.99,"['action', 'rpg']","['action', 'atmospheric', 'dark fantasy', 'multiplayer', 'online co op', 'open world', 'pvp', 'rpg', 'souls like', 'third person']","['co op', 'multi player', 'online co op', 'online pvp', 'pvp']",2019-10-24,59.0,109.0,109
1245620,ELDEN RING,14,2344520,Diablo® IV,0.6696,1.0,0.4858,0.8544,"['action', 'rpg']","['action', 'action rpg', 'co op', 'dark fantasy', 'fantasy', 'multiplayer', 'online co op', 'rpg', 'singleplayer', 'third person', 'violent']","['co op', 'multi player', 'online co op', 'online pvp', 'pvp', 'single player']",2023-10-17,71.0,33185.0,33068
1245620,ELDEN RING,15,1944360,Rune Teller,0.6693,0.814,0.5817,0.7782,"['action', 'rpg']","['3d', 'action', 'action rpg', 'co op', 'fantasy', 'multiplayer', 'online co op', 'open world', 'rpg', 'singleplayer', 'souls like', 'third person']","['co op', 'multi player', 'online co op', 'single player']",2023-02-09,70.0,432.0,432
1245620,ELDEN RING,16,1501750,Lords of the Fallen,0.6672,0.8633,0.5388,0.8544,"['action', 'rpg']","['action', 'action rpg', 'character customization', 'dark fantasy', 'fantasy', 'multiplayer', 'online co op', 'open world', 'rpg', 'singleplayer', 'souls like']","['co op', 'multi player', 'online co op', 'online pvp', 'pvp', 'single player']",2023-10-13,63.0,23930.0,23921
1245620,ELDEN RING,17,1426490,LOST EPIC,0.665,0.9255,0.5282,0.7782,"['action', 'rpg']","['action', 'action rpg', 'character customization', 'co op', 'dark fantasy', 'difficult', 'multiplayer', 'online co op', 'singleplayer', 'souls like']","['co op', 'multi player', 'online co op', 'single player']",2022-07-27,72.0,1015.0,1015
1245620,ELDEN RING,18,851850,DRAGON BALL Z: KAKAROT,0.6543,1.0,0.4895,0.7371,"['action', 'rpg']","['action', 'action rpg', 'atmospheric', 'character customization', 'difficult', 'fantasy', 'great soundtrack', 'multiplayer', 'open world', 'rpg', 'singleplayer', 'third person']","['multi player', 'online pvp', 'pvp', 'single player']",2020-01-16,93.0,40642.0,40643
1245620,ELDEN RING,19,243930,Bound By Flame,0.6529,1.0,0.6363,0.141,"['action', 'rpg']","['action', 'action rpg', 'atmospheric', 'character customization', 'dark fantasy', 'difficult', 'fantasy', 'great soundtrack', 'open world', 'rpg', 'singleplayer', 'souls like', 'third person']",['single player'],2014-05-08,67.0,2833.0,2833
1245620,ELDEN RING,20,3328820,Marks of Ki,0.649,0.9255,0.5493,0.5868,"['action', 'rpg']","['3d', 'action', 'action rpg', 'character customization', 'dark fantasy', 'multiplayer', 'online co op', 'open world', 'rpg', 'singleplayer', 'souls like', 'third person']","['co op', 'multi player', 'single player']",2024-11-24,,0.0,0
1245620,ELDEN RING,21,3026560,Multiplayer Wizards,0.642,0.8196,0.4785,1.0,['rpg'],"['3d', 'action rpg', 'co op', 'multiplayer', 'online co op', 'pvp', 'rpg', 'singleplayer']","['co op', 'multi player', 'online co op', 'online pvp', 'pvp', 'single player']",2024-06-20,,0.0,0
1245620,ELDEN RING,22,899440,GOD EATER 3,0.6418,0.573,0.581,1.0,['action'],"['action', 'action rpg', 'character customization', 'co op', 'great soundtrack', 'multiplayer', 'online co op', 'open world', 'rpg', 'singleplayer', 'souls like', 'third person']","['co op', 'multi player', 'online co op', 'online pvp', 'pvp', 'single player']",2019-02-07,80.0,7154.0,7149
1245620,ELDEN RING,23,1766100,The Last Hero of Nostalgaia,0.6392,0.4011,0.7036,0.7782,['action'],"['3d', 'action', 'action rpg', 'character customization', 'co op', 'dark fantasy', 'difficult', 'multiplayer', 'online co op', 'rpg', 'singleplayer', 'souls like', 'third person', 'violent']","['co op', 'multi player', 'online co op', 'single player']",2022-10-19,79.0,1562.0,1551
1245620,ELDEN RING,24,617290,Remnant: From the Ashes,0.6385,0.8633,0.5099,0.7782,"['action', 'rpg']","['action', 'atmospheric', 'co op', 'dark fantasy', 'difficult', 'multiplayer', 'online co op', 'rpg', 'singleplayer', 'souls like', 'violent']","['co op', 'multi player', 'online co op', 'single player']",2019-08-19,85.0,43166.0,43164
1245620,ELDEN RING,25,1437400,Salt and Sacrifice,0.6351,1.0,0.482,0.6392,"['action', 'rpg']","['action', 'action rpg', 'character customization', 'co op', 'dark fantasy', 'online co op', 'pvp', 'rpg', 'souls like']","['co op', 'multi player', 'online co op', 'online pvp', 'pvp', 'single player']",2023-11-06,62.0,1309.0,1306
